# See the example.txt airport for all possible sections and items to add to this file.

[airspace]
radius = 55			; airspace radius in NM
zoom = 7.0 			; default zoom level, increase to zoom in
elevation = 13 			; ground altitude in feet
floor = 1800 			; minimum selectable altitude
descendaltitude = 12000 	; minimum initial altitude for arrivals
ceiling = 13000 		; maximum selectable altitude
above = 14000 			; maximum departure altitude when SID is enabled (must be above ceiling)
transitionaltitude = 18000	; highest altitude displayed in feet instead of flight level
speedrestriction = 20, 230 	; radius in NM, and speed in knots
usa = true			; American-style callsign pronunciation and runway names
metric = false			; display altitudes in metres instead of feet
separation = 3			; minimum allowed distance between aircraft in NM
center = N42.36429977, W71.00520325
magneticvar = -14.364
beacons =
	BOS, N42.35740, W70.98950, 0, Boston
	IMR, N42.09790, W70.67530, 0, Marshfield
	LWM, N42.74040, W71.09480, 0, Lawrence
	IHM, N42.00280, W71.19710, 0, Mansfield
	PYM, N41.84750, W70.80270, 0, Plymouth
	PSM, N43.08446, W70.83199, 0, pease
	ENE, N43.42567, W70.61353, 0, kennebunk
	MHT, N42.86850, W71.36950, 0, Manchester
	PVC, N42.06890, W70.22360, 0, Provincetown
	PVD, N41.72430, W71.42960, 0, Providence
	PSM, N43.08450, W70.83200, 0, Pease
	PUT, N41.95550, W71.84410, 0, Putnam
	FMH, N41.73260, W70.44090, 0, Otis
	LFV, N42.01720, W70.03730, 0, Marconi
	GDM, N42.54600, W72.05820, 0, Gardner
	ACK, N41.28189, W70.02671, 0, nantucket
	SEY, N41.16744, W71.57609, 0, sandy point
	MVY, N41.39621, W70.61272, 0, martha's vineyard

# BOS beacons
    AADMS, N42.35.07.53, W071.19.08.13, aadms
route1 =
    N41.50.35.40, W069.46.53.11, 14000, 330 ; FERNZ
    N42.28.55.22, W069.54.42.21, 11000, 330 ; LONEY
    N42.35.58.22, W069.56.54.94, 11000, 330 ; RODEE
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.31.46.46, W070.30.54.94, 9000, 250 ; TTERI
    N42.27.28.16, W070.49.31.96, 9000, 250 ; WAATR
    N42.23.15.44, W070.51.19.79, 9000, 250 ; PLGRM
    N42.20.12.83, W070.50.16.49, 5000, 220 ; BECHH
    N42.16.43.48, W070.45.38.19, 5000, 210 ; SCITU
    end, 150

##################################################
[approach73]
##################################################
# PROVI.OOSHN5
runway = BOS_15R_33L, rev
beacon = PROVI

route1 =
    N41.43.25.46, W071.25.54.17, 14000, 330 ; PROVI
    N42.03.16.48, W070.49.40.68, 14000, 330 ; IYANA
    N42.06.30.28, W070.36.58.08, 14000, 330 ; KLEBB
    N42.14.14.45, W070.08.43.28, 14000, 330 ; SOBAH
    N42.28.55.22, W069.54.42.21, 11000, 330 ; LONEY
    N42.35.58.22, W069.56.54.94, 11000, 330 ; RODEE
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.31.46.46, W070.30.54.94, 9000, 250 ; TTERI
    N42.27.28.16, W070.49.31.96, 9000, 250 ; WAATR
    N42.23.15.44, W070.51.19.79, 9000, 250 ; PLGRM
    N42.20.12.83, W070.50.16.49, 5000, 220 ; BECHH
    N42.16.43.48, W070.45.38.19, 5000, 210 ; SCITU
    end, 150

##################################################
[approach74]
##################################################
# EURRO.OOSHN5
runway = BOS_15R_33L, rev
beacon = EURRO

route1 =
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.31.46.46, W070.30.54.94, 9000, 250 ; TTERI
    N42.27.28.16, W070.49.31.96, 9000, 250 ; WAATR
    N42.23.15.44, W070.51.19.79, 9000, 250 ; PLGRM
    N42.20.12.83, W070.50.16.49, 5000, 220 ; BECHH
    N42.16.43.48, W070.45.38.19, 5000, 210 ; SCITU
    end, 150

# ##################################################
# [approach75]
# ##################################################
# # RUIZE.ROBUC3
# runway = BOS_15R_33L, rev
# beacon = RUIZE
#
# route1 =
#     N41.28.45.63, W072.12.33.94, 14000, 330 ; RUIZE
#     N41.33.22.48, W071.59.56.97, 14000, 330 ; AWLIN
#     N41.35.44.39, W071.52.03.63, 14000, 330 ; BANKI
#     N41.40.44.11, W071.35.06.42, 12000, 260 ; ROBUC
#     N41.47.07.37, W071.17.15.23, 12000, 260 ; JOODY
#     N41.49.15.90, W071.12.13.60, 11000, 250 ; JAYNA
#     N41.55.25.95, W070.58.18.81, 8000, 240 ; ANSLY
#     N42.00.32.09, W070.48.20.74, 6000, 220 ; BEREI
#     N42.05.56.98, W070.41.09.06, 6000, 210 ; BBOGG
#     end, 059

##################################################
[approach76]
##################################################
# ROBUC.ROBUC3
runway = BOS_15R_33L, rev
beacon = ROBUC

route1 =
    N41.40.44.11, W071.35.06.42, 12000, 260 ; ROBUC
    N41.43.25.46, W071.25.54.17, 11000, 260 ; PROVI
    N41.47.07.37, W071.17.15.23, 11000, 260 ; JOODY
    N41.49.15.90, W071.12.13.60, 11000, 250 ; JAYNA
    N41.55.25.95, W070.58.18.81, 8000, 240 ; ANSLY
    N42.00.32.09, W070.48.20.74, 6000, 220 ; BEREI
    N42.05.56.98, W070.41.09.06, 6000, 210 ; BBOGG
    end, 059

# ##################################################
# [approach77]
# ##################################################
# # RUIZE.ROBUC3
# runway = BOS_04L_22R
# beacon = RUIZE
#
# route1 =
#     N41.28.45.63, W072.12.33.94, 14000, 330 ; RUIZE
#     N41.33.22.48, W071.59.56.97, 14000, 330 ; AWLIN
#     N41.35.44.39, W071.52.03.63, 14000, 330 ; BANKI
#     N41.40.44.11, W071.35.06.42, 12000, 260 ; ROBUC
#     N41.47.07.37, W071.17.15.23, 12000, 260 ; JOODY
#     N41.50.35.42, W071.15.32.13, 9000, 220 ; SOFEE
#     N41.56.41.29, W071.12.30.68, 7000, 220 ; ERNEI
#     N42.01.51.20, W071.12.13.36, 6000, 210 ; NUNZO
#     end, 017

##################################################
[approach78]
##################################################
# ROBUC.ROBUC3
runway = BOS_04L_22R
beacon = ROBUC

route1 =
    N41.40.44.11, W071.35.06.42, 12000, 260 ; ROBUC
    N41.43.25.46, W071.25.54.17, 11000, 260 ; PROVI
    N41.47.07.37, W071.17.15.23, 11000, 260 ; JOODY
    N41.50.35.42, W071.15.32.13, 9000, 220 ; SOFEE
    N41.56.41.29, W071.12.30.68, 7000, 220 ; ERNEI
    N42.01.51.20, W071.12.13.36, 6000, 210 ; NUNZO
    end, 017

##################################################
[approach79]
##################################################
# RUIZE.ROBUC3
runway = BOS_04R_22L
beacon = RUIZE

route1 =
    N41.28.45.63, W072.12.33.94, 14000, 330 ; RUIZE
    N41.33.22.48, W071.59.56.97, 14000, 330 ; AWLIN
    N41.35.44.39, W071.52.03.63, 14000, 330 ; BANKI
    N41.40.44.11, W071.35.06.42, 12000, 260 ; ROBUC
    N41.47.07.37, W071.17.15.23, 12000, 260 ; JOODY
    N41.50.35.42, W071.15.32.13, 9000, 220 ; SOFEE
    N41.56.41.29, W071.12.30.68, 7000, 220 ; ERNEI
    N42.02.11.09, W071.09.47.14, 6000, 210 ; GOSHI
    18, 5000, 210

##################################################
[approach80]
##################################################
# ROBUC.ROBUC3
runway = BOS_04R_22L
beacon = ROBUC

route1 =
    N41.40.44.11, W071.35.06.42, 12000, 260 ; ROBUC
    N41.43.25.46, W071.25.54.17, 11000, 260 ; PROVI
    N41.47.07.37, W071.17.15.23, 11000, 260 ; JOODY
    N41.50.35.42, W071.15.32.13, 9000, 220 ; SOFEE
    N41.56.41.29, W071.12.30.68, 7000, 220 ; ERNEI
    N42.02.11.09, W071.09.47.14, 6000, 210 ; GOSHI
    18, 5000, 210


# ##################################################
# [approach81]
# ##################################################
# # HFD.DREEM2
# runway = BVY_09_27
# beacon = HFD
#
# route1 =
#     N41.38.27.98, W072.32.50.71, 14000, 330 ; HFD
#     N41.51.44.56, W072.18.11.25, 14000, 330 ; DVANY
#     N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
#     N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
#     N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
#     N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
#     N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
#     N42.34.38.27, W071.11.35.48, 14000, 330 ; EXXRO
#     end, 097

# ##################################################
# [approach82]
# ##################################################
# # ORW.DREEM2
# runway = BVY_09_27
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.43.22.76, W072.00.32.87, 14000, 330 ; MOGUL
#     N41.49.37.10, W072.00.54.94, 14000, 330 ; BLATT
#     N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
#     N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
#     N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
#     N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
#     N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
#     N42.34.38.27, W071.11.35.48, 14000, 330 ; EXXRO
#     end, 097

##################################################
[approach83]
##################################################
# WIPOR.DREEM2
runway = BVY_09_27
beacon = WIPOR

route1 =
    N41.39.23.07, W072.10.37.67, 14000, 330 ; WIPOR
    N41.50.22.56, W072.07.02.55, 14000, 330 ; PAISN
    N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
    N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
    N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
    N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
    N42.34.38.27, W071.11.35.48, 14000, 330 ; EXXRO
    end, 097

##################################################
[approach84]
##################################################
# DREEM.DREEM2
runway = BVY_09_27
beacon = DREEM

route1 =
    N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
    N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
    N42.34.38.27, W071.11.35.48, 14000, 330 ; EXXRO
    end, 097

# ##################################################
# [approach85]
# ##################################################
# # HFD.GRAYM6
# runway = BVY_09_27
# beacon = HFD
#
# route1 =
#     N41.38.27.98, W072.32.50.71, 14000, 330 ; HFD
#     N41.51.44.56, W072.18.11.25, 11000, 250 ; DVANY
#     N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
#     N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
#     end, 056

# ##################################################
# [approach86]
# ##################################################
# # ORW.GRAYM6
# runway = BVY_09_27
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.43.22.76, W072.00.32.87, 11000, 250 ; MOGUL
#     N41.49.37.10, W072.00.54.94, 11000, 250 ; BLATT
#     N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
#     N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
#     end, 056

##################################################
[approach87]
##################################################
# GRAYM.GRAYM6
runway = BVY_09_27
beacon = GRAYM

route1 =
    N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
    N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
    N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
    end, 056

##################################################
[approach88]
##################################################
# EEGUL.ZELKA2
runway = BVY_09_27
beacon = EEGUL

route1 =
    N42.37.31.23, W073.08.16.51, 14000, 330 ; EEGUL
    N42.36.19.75, W072.57.33.67, 14000, 330 ; TERIA
    N42.31.13.98, W072.15.26.78, 14000, 330 ; HAUKS
    N42.29.47.18, W072.04.04.95, 11000, 330 ; WORIA
    N42.29.45.89, W071.50.33.89, 8000, 330 ; BCATS
    N42.29.43.42, W071.38.36.68, 6000, 330 ; GOLEE
    N42.29.41.90, W071.33.12.27, 6000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 6000, 210 ; RIKAH
    N42.34.38.27, W071.11.35.48, 6000, 210 ; EXXRO
    end, 097

##################################################
[approach89]
##################################################
# ZELKA.ZELKA2
runway = BVY_09_27
beacon = ZELKA

route1 =
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 6000, 210 ; RIKAH
    N42.34.38.27, W071.11.35.48, 6000, 210 ; EXXRO
    end, 097

# ##################################################
# [approach90]
# ##################################################
# # HFD.DREEM2
# runway = BVY_16_34
# beacon = HFD
#
# route1 =
#     N41.38.27.98, W072.32.50.71, 14000, 330 ; HFD
#     N41.51.44.56, W072.18.11.25, 14000, 330 ; DVANY
#     N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
#     N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
#     N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
#     N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
#     N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
#     N42.34.38.27, W071.11.35.48, 14000, 330 ; EXXRO
#     end, 097

# ##################################################
# [approach91]
# ##################################################
# # ORW.DREEM2
# runway = BVY_16_34
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.43.22.76, W072.00.32.87, 14000, 330 ; MOGUL
#     N41.49.37.10, W072.00.54.94, 14000, 330 ; BLATT
#     N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
#     N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
#     N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
#     N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
#     N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
#     N42.34.38.27, W071.11.35.48, 14000, 330 ; EXXRO
#     end, 097

##################################################
[approach92]
##################################################
# WIPOR.DREEM2
runway = BVY_16_34
beacon = WIPOR

route1 =
    N41.39.23.07, W072.10.37.67, 14000, 330 ; WIPOR
    N41.50.22.56, W072.07.02.55, 14000, 330 ; PAISN
    N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
    N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
    N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
    N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
    N42.34.38.27, W071.11.35.48, 14000, 330 ; EXXRO
    end, 097

##################################################
[approach93]
##################################################
# DREEM.DREEM2
runway = BVY_16_34
beacon = DREEM

route1 =
    N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
    N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
    N42.34.38.27, W071.11.35.48, 14000, 330 ; EXXRO
    end, 097

# ##################################################
# [approach94]
# ##################################################
# # HFD.GRAYM6
# runway = BVY_16_34
# beacon = HFD
#
# route1 =
#     N41.38.27.98, W072.32.50.71, 14000, 330 ; HFD
#     N41.51.44.56, W072.18.11.25, 11000, 250 ; DVANY
#     N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
#     N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
#     end, 056

# ##################################################
# [approach95]
# ##################################################
# # ORW.GRAYM6
# runway = BVY_16_34
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.43.22.76, W072.00.32.87, 11000, 330 ; MOGUL
#     N41.49.37.10, W072.00.54.94, 11000, 250 ; BLATT
#     N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
#     N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
#     end, 056

##################################################
[approach96]
##################################################
# GRAYM.GRAYM6
runway = BVY_16_34
beacon = GRAYM

route1 =
    N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
    N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
    N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
    end, 056

##################################################
[approach97]
##################################################
# EEGUL.ZELKA2
runway = BVY_16_34
beacon = EEGUL

route1 =
    N42.37.31.23, W073.08.16.51, 14000, 330 ; EEGUL
    N42.36.19.75, W072.57.33.67, 14000, 330 ; TERIA
    N42.31.13.98, W072.15.26.78, 14000, 330 ; HAUKS
    N42.29.47.18, W072.04.04.95, 11000, 330 ; WORIA
    N42.29.45.89, W071.50.33.89, 8000, 330 ; BCATS
    N42.29.43.42, W071.38.36.68, 6000, 330 ; GOLEE
    N42.29.41.90, W071.33.12.27, 6000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 6000, 210 ; RIKAH
    N42.34.38.27, W071.11.35.48, 6000, 210 ; EXXRO
    end, 097

##################################################
[approach98]
##################################################
# ZELKA.ZELKA2
runway = BVY_16_34
beacon = ZELKA

route1 =
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 6000, 210 ; RIKAH
    N42.34.38.27, W071.11.35.48, 6000, 210 ; EXXRO
    end, 097

# ##################################################
# [approach99]
# ##################################################
# # HFD.DREEM2
# runway = BVY_09_27, rev
# beacon = HFD
#
# route1 =
#     N41.38.27.98, W072.32.50.71, 14000, 330 ; HFD
#     N41.51.44.56, W072.18.11.25, 14000, 330 ; DVANY
#     N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
#     N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
#     N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
#     N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
#     N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
#     N42.34.38.27, W071.11.35.48, 14000, 330 ; EXXRO
#     end, 097
#
# ##################################################
# [approach100]
# ##################################################
# # ORW.DREEM2
# runway = BVY_09_27, rev
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.43.22.76, W072.00.32.87, 14000, 330 ; MOGUL
#     N41.49.37.10, W072.00.54.94, 14000, 330 ; BLATT
#     N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
#     N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
#     N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
#     N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
#     N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
#     N42.34.38.27, W071.11.35.48, 14000, 330 ; EXXRO
#     end, 097

##################################################
[approach101]
##################################################
# WIPOR.DREEM2
runway = BVY_09_27, rev
beacon = WIPOR

route1 =
    N41.39.23.07, W072.10.37.67, 14000, 330 ; WIPOR
    N41.50.22.56, W072.07.02.55, 14000, 330 ; PAISN
    N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
    N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
    N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
    N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
    N42.34.38.27, W071.11.35.48, 14000, 330 ; EXXRO
    end, 097

##################################################
[approach102]
##################################################
# DREEM.DREEM2
runway = BVY_09_27, rev
beacon = DREEM

route1 =
    N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
    N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
    N42.34.38.27, W071.11.35.48, 14000, 330 ; EXXRO
    end, 097

# ##################################################
# [approach103]
# ##################################################
# # HFD.GRAYM6
# runway = BVY_09_27, rev
# beacon = HFD
#
# route1 =
#     N41.38.27.98, W072.32.50.71, 14000, 330 ; HFD
#     N41.51.44.56, W072.18.11.25, 11000, 250 ; DVANY
#     N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
#     N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
#     end, 056
#
# ##################################################
# [approach104]
# ##################################################
# # ORW.GRAYM6
# runway = BVY_09_27, rev
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.43.22.76, W072.00.32.87, 11000, 330 ; MOGUL
#     N41.49.37.10, W072.00.54.94, 11000, 250 ; BLATT
#     N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
#     N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
#     end, 056

##################################################
[approach105]
##################################################
# GRAYM.GRAYM6
runway = BVY_09_27, rev
beacon = GRAYM

route1 =
    N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
    N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
    N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
    end, 056

##################################################
[approach106]
##################################################
# EEGUL.ZELKA2
runway = BVY_09_27, rev
beacon = EEGUL

route1 =
    N42.37.31.23, W073.08.16.51, 14000, 330 ; EEGUL
    N42.36.19.75, W072.57.33.67, 14000, 330 ; TERIA
    N42.31.13.98, W072.15.26.78, 14000, 330 ; HAUKS
    N42.29.47.18, W072.04.04.95, 11000, 330 ; WORIA
    N42.29.45.89, W071.50.33.89, 8000, 330 ; BCATS
    N42.29.43.42, W071.38.36.68, 6000, 330 ; GOLEE
    N42.29.41.90, W071.33.12.27, 6000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 6000, 210 ; RIKAH
    N42.34.38.27, W071.11.35.48, 6000, 210 ; EXXRO
    end, 097

##################################################
[approach107]
##################################################
# ZELKA.ZELKA2
runway = BVY_09_27, rev
beacon = ZELKA

route1 =
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 6000, 210 ; RIKAH
    N42.34.38.27, W071.11.35.48, 6000, 210 ; EXXRO
    end, 097

# ##################################################
# [approach108]
# ##################################################
# # HFD.DREEM2
# runway = BVY_16_34, rev
# beacon = HFD
#
# route1 =
#     N41.38.27.98, W072.32.50.71, 14000, 330 ; HFD
#     N41.51.44.56, W072.18.11.25, 14000, 330 ; DVANY
#     N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
#     N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
#     N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
#     N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
#     N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
#     N42.34.38.27, W071.11.35.48, 14000, 330 ; EXXRO
#     end, 097
#
# ##################################################
# [approach109]
# ##################################################
# # ORW.DREEM2
# runway = BVY_16_34, rev
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.43.22.76, W072.00.32.87, 14000, 330 ; MOGUL
#     N41.49.37.10, W072.00.54.94, 14000, 330 ; BLATT
#     N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
#     N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
#     N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
#     N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
#     N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
#     N42.34.38.27, W071.11.35.48, 14000, 330 ; EXXRO
#     end, 097

##################################################
[approach110]
##################################################
# WIPOR.DREEM2
runway = BVY_16_34, rev
beacon = WIPOR

route1 =
    N41.39.23.07, W072.10.37.67, 14000, 330 ; WIPOR
    N41.50.22.56, W072.07.02.55, 14000, 330 ; PAISN
    N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
    N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
    N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
    N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
    N42.34.38.27, W071.11.35.48, 14000, 330 ; EXXRO
    end, 097

##################################################
[approach111]
##################################################
# DREEM.DREEM2
runway = BVY_16_34, rev
beacon = DREEM

route1 =
    N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
    N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
    N42.34.38.27, W071.11.35.48, 14000, 330 ; EXXRO
    end, 097

# ##################################################
# [approach112]
# ##################################################
# # HFD.GRAYM6
# runway = BVY_16_34, rev
# beacon = HFD
#
# route1 =
#     N41.38.27.98, W072.32.50.71, 14000, 330 ; HFD
#     N41.51.44.56, W072.18.11.25, 11000, 250 ; DVANY
#     N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
#     N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
#     end, 056
#
# ##################################################
# [approach113]
# ##################################################
# # ORW.GRAYM6
# runway = BVY_16_34, rev
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.43.22.76, W072.00.32.87, 11000, 330 ; MOGUL
#     N41.49.37.10, W072.00.54.94, 11000, 250 ; BLATT
#     N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
#     N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
#     end, 056

##################################################
[approach114]
##################################################
# GRAYM.GRAYM6
runway = BVY_16_34, rev
beacon = GRAYM

route1 =
    N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
    N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
    N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
    end, 056

##################################################
[approach115]
##################################################
# EEGUL.ZELKA2
runway = BVY_16_34, rev
beacon = EEGUL

route1 =
    N42.37.31.23, W073.08.16.51, 14000, 330 ; EEGUL
    N42.36.19.75, W072.57.33.67, 14000, 330 ; TERIA
    N42.31.13.98, W072.15.26.78, 14000, 330 ; HAUKS
