# This is an automatically generated airport file for Endless ATC.
# Feel free to improve, use and share this file, at your own risk.
# Data from ourairports.com.
# Coastline from naturalearthdata.com.
# See the example.txt airport for all possible sections and items to add to this file.

[airspace]
radius = 50
elevation = 841
usa = true
transition = 18001
center = N44.882, W93.221802
floor = 2000 			; minimum selectable altitude
descendaltitude = 7000 	; minimum initial altitude for arrivals
ceiling = 13000 		; maximum selectable altitude
above = 17000 			; maximum departure altitude when SID is enabled (must be above ceiling)
magneticvar = 1.529
beacons =
	MSP, N44.89650, W93.23650, 0, Minneapolis

# KMSP STAR BEACONS
    AANAH, N44.25.41.36, W093.19.19.23, aanah
    N44.20.29.98, W092.26.54.60
# ZMBRO

route18 =
    ZMBRO7.ODI, ZMBRO7
    N44.53.47.40, W093.14.11.51
# MSP
    N44.27.40.64, W092.43.40.59
# JEDET
    N44.20.29.98, W092.26.54.60
# ZMBRO
    N43.54.44.39, W091.28.03.06
# ODI


##################################################
[departure1]
runway = KMSP_12R_30L

route1 =
    COULT7.COULT, COULT7
    N44.33.23.85, W092.12.30.38
# COULT

route2 =
    COULT7.DLL, COULT7
    N44.33.23.85, W092.12.30.38
# COULT
    N44.22.14.63, W091.51.01.69
# LMFRY
    N43.33.03.00, W089.45.49.04
# DLL

route3 =
    DWN8.DWN, DWN8
    N44.53.47.40, W093.14.11.51
# MSP
    N45.05.14.87, W094.27.13.86
# DWN

route4 =
    DWN8.ABR, DWN8
    N44.53.47.40, W093.14.11.51
# MSP
    N45.05.14.87, W094.27.13.86
# DWN
    N45.25.02.48, W098.22.07.39
# ABR

route5 =
    KBREW1.KBREW, KBREW1
    N45.08.44.47, W093.22.23.45
# GEP
    N45.18.52.31, W093.48.25.17
# HRBEK
    N45.25.05.56, W094.04.36.50
# HOMUR
    N45.35.03.67, W094.30.53.21
# KBREW

route6 =
    KBREW1.FAR, KBREW1
    N45.08.44.47, W093.22.23.45
# GEP
    N45.18.52.31, W093.48.25.17
# HRBEK
    N45.25.05.56, W094.04.36.50
# HOMUR
    N45.35.03.67, W094.30.53.21
# KBREW
    N46.45.12.01, W096.51.04.75
# FAR

route7 =
    LEINY6.LEINY, LEINY6
    N44.54.57.58, W093.38.01.51
# TONCA
    N44.56.03.00, W094.01.31.00
# BOTNE
    N44.56.54.26, W094.21.16.60
# KUUGL
    N45.02.16.00, W097.36.40.00
# LEINY

route8 =
    ORSKY2.ORSKY, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY

route9 =
    ORSKY2.FOD, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY
    N42.36.40.05, W094.17.41.34
# FOD

route10 =
    ORSKY2.OVR, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY
    N43.17.51.48, W094.30.46.46
# ONTIJ
    N42.57.30.91, W094.42.51.04
# GOOLD
    N42.49.33.63, W094.47.31.30
# SIMJI
    N42.26.08.02, W095.01.09.77
# EYHUX
    N41.50.32.36, W095.21.31.40
# TODDO
    N41.10.01.80, W095.44.12.67
# OVR

route11 =
    RST1.RST, RST1
    N44.37.51.40, W093.10.55.39
# FGT
    N44.25.19.96, W093.02.10.66
# FOBUG
    N44.15.29.08, W092.55.20.92
# DOKTR
    N44.07.25.38, W092.49.47.21
# CORDY
    N43.46.58.45, W092.35.49.06
# RST

route12 =
    RST1.ALO, RST1
    N44.37.51.40, W093.10.55.39
# FGT
    N44.25.19.96, W093.02.10.66
# FOBUG
    N44.15.29.08, W092.55.20.92
# DOKTR
    N44.07.25.38, W092.49.47.21
# CORDY
    N43.46.58.45, W092.35.49.06
# RST
    N42.33.23.39, W092.23.56.13
# ALO

route13 =
    SCHEP9.SCHEP, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP

route14 =
    SCHEP9.OBH, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP
    N43.38.48.90, W095.34.55.05
# OTG
    N41.22.32.65, W098.21.12.94
# OBH

route15 =
    SCHEP9.ONL, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP
    N43.38.48.90, W095.34.55.05
# OTG
    N42.28.13.80, W098.41.12.94
# ONL

route16 =
    SMERF7.SMERF, SMERF7
    N45.05.17.00, W093.52.33.00
# ZOGAP
    N45.11.17.56, W094.17.15.85
# PAGOZ
    N45.55.15.82, W097.34.08.26
# SMERF

route17 =
    ZMBRO7.ZMBRO, ZMBRO7
    N44.53.47.40, W093.14.11.51
# MSP
    N44.27.40.64, W092.43.40.59
# JEDET
    N44.20.29.98, W092.26.54.60
# ZMBRO

route18 =
    ZMBRO7.ODI, ZMBRO7
    N44.53.47.40, W093.14.11.51
# MSP
    N44.27.40.64, W092.43.40.59
# JEDET
    N44.20.29.98, W092.26.54.60
# ZMBRO
    N43.54.44.39, W091.28.03.06
# ODI


##################################################
[departure1]
runway = KMSP_17_35

route1 =
    COULT7.COULT, COULT7
    N44.33.23.85, W092.12.30.38
# COULT

route2 =
    COULT7.DLL, COULT7
    N44.33.23.85, W092.12.30.38
# COULT
    N44.22.14.63, W091.51.01.69
# LMFRY
    N43.33.03.00, W089.45.49.04
# DLL

route3 =
    DWN8.DWN, DWN8
    N44.53.47.40, W093.14.11.51
# MSP
    N45.05.14.87, W094.27.13.86
# DWN

route4 =
    DWN8.ABR, DWN8
    N44.53.47.40, W093.14.11.51
# MSP
    N45.05.14.87, W094.27.13.86
# DWN
    N45.25.02.48, W098.22.07.39
# ABR

route5 =
    KBREW1.KBREW, KBREW1
    N45.08.44.47, W093.22.23.45
# GEP
    N45.18.52.31, W093.48.25.17
# HRBEK
    N45.25.05.56, W094.04.36.50
# HOMUR
    N45.35.03.67, W094.30.53.21
# KBREW

route6 =
    KBREW1.FAR, KBREW1
    N45.08.44.47, W093.22.23.45
# GEP
    N45.18.52.31, W093.48.25.17
# HRBEK
    N45.25.05.56, W094.04.36.50
# HOMUR
    N45.35.03.67, W094.30.53.21
# KBREW
    N46.45.12.01, W096.51.04.75
# FAR

route7 =
    LEINY6.LEINY, LEINY6
    N44.54.57.58, W093.38.01.51
# TONCA
    N44.56.03.00, W094.01.31.00
# BOTNE
    N44.56.54.26, W094.21.16.60
# KUUGL
    N45.02.16.00, W097.36.40.00
# LEINY

route8 =
    ORSKY2.ORSKY, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY

route9 =
    ORSKY2.FOD, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY
    N42.36.40.05, W094.17.41.34
# FOD

route10 =
    ORSKY2.OVR, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY
    N43.17.51.48, W094.30.46.46
# ONTIJ
    N42.57.30.91, W094.42.51.04
# GOOLD
    N42.49.33.63, W094.47.31.30
# SIMJI
    N42.26.08.02, W095.01.09.77
# EYHUX
    N41.50.32.36, W095.21.31.40
# TODDO
    N41.10.01.80, W095.44.12.67
# OVR

route11 =
    RST1.RST, RST1
    N44.37.51.40, W093.10.55.39
# FGT
    N44.25.19.96, W093.02.10.66
# FOBUG
    N44.15.29.08, W092.55.20.92
# DOKTR
    N44.07.25.38, W092.49.47.21
# CORDY
    N43.46.58.45, W092.35.49.06
# RST

route12 =
    RST1.ALO, RST1
    N44.37.51.40, W093.10.55.39
# FGT
    N44.25.19.96, W093.02.10.66
# FOBUG
    N44.15.29.08, W092.55.20.92
# DOKTR
    N44.07.25.38, W092.49.47.21
# CORDY
    N43.46.58.45, W092.35.49.06
# RST
    N42.33.23.39, W092.23.56.13
# ALO

route13 =
    SCHEP9.SCHEP, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP

route14 =
    SCHEP9.OBH, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP
    N43.38.48.90, W095.34.55.05
# OTG
    N41.22.32.65, W098.21.12.94
# OBH

route15 =
    SCHEP9.ONL, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP
    N43.38.48.90, W095.34.55.05
# OTG
    N42.28.13.80, W098.41.12.94
# ONL

route16 =
    SMERF7.SMERF, SMERF7
    N45.05.17.00, W093.52.33.00
# ZOGAP
    N45.11.17.56, W094.17.15.85
# PAGOZ
    N45.55.15.82, W097.34.08.26
# SMERF

route17 =
    ZMBRO7.ZMBRO, ZMBRO7
    N44.53.47.40, W093.14.11.51
# MSP
    N44.27.40.64, W092.43.40.59
# JEDET
    N44.20.29.98, W092.26.54.60
# ZMBRO

route18 =
    ZMBRO7.ODI, ZMBRO7
    N44.53.47.40, W093.14.11.51
# MSP
    N44.27.40.64, W092.43.40.59
# JEDET
    N44.20.29.98, W092.26.54.60
# ZMBRO
    N43.54.44.39, W091.28.03.06
# ODI


##################################################
[departure1]
runway = KMSP_04_22, rev

route1 =
    COULT7.COULT, COULT7
    N44.33.23.85, W092.12.30.38
# COULT

route2 =
    COULT7.DLL, COULT7
    N44.33.23.85, W092.12.30.38
# COULT
    N44.22.14.63, W091.51.01.69
# LMFRY
    N43.33.03.00, W089.45.49.04
# DLL

route3 =
    DWN8.DWN, DWN8
    N44.53.47.40, W093.14.11.51
# MSP
    N45.05.14.87, W094.27.13.86
# DWN

route4 =
    DWN8.ABR, DWN8
    N44.53.47.40, W093.14.11.51
# MSP
    N45.05.14.87, W094.27.13.86
# DWN
    N45.25.02.48, W098.22.07.39
# ABR

route5 =
    KBREW1.KBREW, KBREW1
    N45.08.44.47, W093.22.23.45
# GEP
    N45.18.52.31, W093.48.25.17
# HRBEK
    N45.25.05.56, W094.04.36.50
# HOMUR
    N45.35.03.67, W094.30.53.21
# KBREW

route6 =
    KBREW1.FAR, KBREW1
    N45.08.44.47, W093.22.23.45
# GEP
    N45.18.52.31, W093.48.25.17
# HRBEK
    N45.25.05.56, W094.04.36.50
# HOMUR
    N45.35.03.67, W094.30.53.21
# KBREW
    N46.45.12.01, W096.51.04.75
# FAR

route7 =
    LEINY6.LEINY, LEINY6
    N44.54.57.58, W093.38.01.51
# TONCA
    N44.56.03.00, W094.01.31.00
# BOTNE
    N44.56.54.26, W094.21.16.60
# KUUGL
    N45.02.16.00, W097.36.40.00
# LEINY

route8 =
    ORSKY2.ORSKY, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY

route9 =
    ORSKY2.FOD, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY
    N42.36.40.05, W094.17.41.34
# FOD

route10 =
    ORSKY2.OVR, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY
    N43.17.51.48, W094.30.46.46
# ONTIJ
    N42.57.30.91, W094.42.51.04
# GOOLD
    N42.49.33.63, W094.47.31.30
# SIMJI
    N42.26.08.02, W095.01.09.77
# EYHUX
    N41.50.32.36, W095.21.31.40
# TODDO
    N41.10.01.80, W095.44.12.67
# OVR

route11 =
    RST1.RST, RST1
    N44.37.51.40, W093.10.55.39
# FGT
    N44.25.19.96, W093.02.10.66
# FOBUG
    N44.15.29.08, W092.55.20.92
# DOKTR
    N44.07.25.38, W092.49.47.21
# CORDY
    N43.46.58.45, W092.35.49.06
# RST

route12 =
    RST1.ALO, RST1
    N44.37.51.40, W093.10.55.39
# FGT
    N44.25.19.96, W093.02.10.66
# FOBUG
    N44.15.29.08, W092.55.20.92
# DOKTR
    N44.07.25.38, W092.49.47.21
# CORDY
    N43.46.58.45, W092.35.49.06
# RST
    N42.33.23.39, W092.23.56.13
# ALO

route13 =
    SCHEP9.SCHEP, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP

route14 =
    SCHEP9.OBH, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP
    N43.38.48.90, W095.34.55.05
# OTG
    N41.22.32.65, W098.21.12.94
# OBH

route15 =
    SCHEP9.ONL, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP
    N43.38.48.90, W095.34.55.05
# OTG
    N42.28.13.80, W098.41.12.94
# ONL

route16 =
    SMERF7.SMERF, SMERF7
    N45.05.17.00, W093.52.33.00
# ZOGAP
    N45.11.17.56, W094.17.15.85
# PAGOZ
    N45.55.15.82, W097.34.08.26
# SMERF

route17 =
    ZMBRO7.ZMBRO, ZMBRO7
    N44.53.47.40, W093.14.11.51
# MSP
    N44.27.40.64, W092.43.40.59
# JEDET
    N44.20.29.98, W092.26.54.60
# ZMBRO

route18 =
    ZMBRO7.ODI, ZMBRO7
    N44.53.47.40, W093.14.11.51
# MSP
    N44.27.40.64, W092.43.40.59
# JEDET
    N44.20.29.98, W092.26.54.60
# ZMBRO
    N43.54.44.39, W091.28.03.06
# ODI


##################################################
[departure1]
runway = KMSP_12R_30L, rev

route1 =
    COULT7.COULT, COULT7
    N44.33.23.85, W092.12.30.38
# COULT

route2 =
    COULT7.DLL, COULT7
    N44.33.23.85, W092.12.30.38
# COULT
    N44.22.14.63, W091.51.01.69
# LMFRY
    N43.33.03.00, W089.45.49.04
# DLL

route3 =
    DWN8.DWN, DWN8
    N44.53.47.40, W093.14.11.51
# MSP
    N45.05.14.87, W094.27.13.86
# DWN

route4 =
    DWN8.ABR, DWN8
    N44.53.47.40, W093.14.11.51
# MSP
    N45.05.14.87, W094.27.13.86
# DWN
    N45.25.02.48, W098.22.07.39
# ABR

route5 =
    KBREW1.KBREW, KBREW1
    N45.08.44.47, W093.22.23.45
# GEP
    N45.18.52.31, W093.48.25.17
# HRBEK
    N45.25.05.56, W094.04.36.50
# HOMUR
    N45.35.03.67, W094.30.53.21
# KBREW

route6 =
    KBREW1.FAR, KBREW1
    N45.08.44.47, W093.22.23.45
# GEP
    N45.18.52.31, W093.48.25.17
# HRBEK
    N45.25.05.56, W094.04.36.50
# HOMUR
    N45.35.03.67, W094.30.53.21
# KBREW
    N46.45.12.01, W096.51.04.75
# FAR

route7 =
    LEINY6.LEINY, LEINY6
    N44.54.57.58, W093.38.01.51
# TONCA
    N44.56.03.00, W094.01.31.00
# BOTNE
    N44.56.54.26, W094.21.16.60
# KUUGL
    N45.02.16.00, W097.36.40.00
# LEINY

route8 =
    ORSKY2.ORSKY, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY

route9 =
    ORSKY2.FOD, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY
    N42.36.40.05, W094.17.41.34
# FOD

route10 =
    ORSKY2.OVR, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY
    N43.17.51.48, W094.30.46.46
# ONTIJ
    N42.57.30.91, W094.42.51.04
# GOOLD
    N42.49.33.63, W094.47.31.30
# SIMJI
    N42.26.08.02, W095.01.09.77
# EYHUX
    N41.50.32.36, W095.21.31.40
# TODDO
    N41.10.01.80, W095.44.12.67
# OVR

route11 =
    RST1.RST, RST1
    N44.37.51.40, W093.10.55.39
# FGT
    N44.25.19.96, W093.02.10.66
# FOBUG
    N44.15.29.08, W092.55.20.92
# DOKTR
    N44.07.25.38, W092.49.47.21
# CORDY
    N43.46.58.45, W092.35.49.06
# RST

route12 =
    RST1.ALO, RST1
    N44.37.51.40, W093.10.55.39
# FGT
    N44.25.19.96, W093.02.10.66
# FOBUG
    N44.15.29.08, W092.55.20.92
# DOKTR
    N44.07.25.38, W092.49.47.21
# CORDY
    N43.46.58.45, W092.35.49.06
# RST
    N42.33.23.39, W092.23.56.13
# ALO

route13 =
    SCHEP9.SCHEP, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP

route14 =
    SCHEP9.OBH, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP
    N43.38.48.90, W095.34.55.05
# OTG
    N41.22.32.65, W098.21.12.94
# OBH

route15 =
    SCHEP9.ONL, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP
    N43.38.48.90, W095.34.55.05
# OTG
    N42.28.13.80, W098.41.12.94
# ONL

route16 =
    SMERF7.SMERF, SMERF7
    N45.05.17.00, W093.52.33.00
# ZOGAP
    N45.11.17.56, W094.17.15.85
# PAGOZ
    N45.55.15.82, W097.34.08.26
# SMERF

route17 =
    ZMBRO7.ZMBRO, ZMBRO7
    N44.53.47.40, W093.14.11.51
# MSP
    N44.27.40.64, W092.43.40.59
# JEDET
    N44.20.29.98, W092.26.54.60
# ZMBRO

route18 =
    ZMBRO7.ODI, ZMBRO7
    N44.53.47.40, W093.14.11.51
# MSP
    N44.27.40.64, W092.43.40.59
# JEDET
    N44.20.29.98, W092.26.54.60
# ZMBRO
    N43.54.44.39, W091.28.03.06
# ODI


##################################################
[departure1]
runway = KMSP_12L_30R, rev

route1 =
    COULT7.COULT, COULT7
    N44.33.23.85, W092.12.30.38
# COULT

route2 =
    COULT7.DLL, COULT7
    N44.33.23.85, W092.12.30.38
# COULT
    N44.22.14.63, W091.51.01.69
# LMFRY
    N43.33.03.00, W089.45.49.04
# DLL

route3 =
    DWN8.DWN, DWN8
    N44.53.47.40, W093.14.11.51
# MSP
    N45.05.14.87, W094.27.13.86
# DWN

route4 =
    DWN8.ABR, DWN8
    N44.53.47.40, W093.14.11.51
# MSP
    N45.05.14.87, W094.27.13.86
# DWN
    N45.25.02.48, W098.22.07.39
# ABR

route5 =
    KBREW1.KBREW, KBREW1
    N45.08.44.47, W093.22.23.45
# GEP
    N45.18.52.31, W093.48.25.17
# HRBEK
    N45.25.05.56, W094.04.36.50
# HOMUR
    N45.35.03.67, W094.30.53.21
# KBREW

route6 =
    KBREW1.FAR, KBREW1
    N45.08.44.47, W093.22.23.45
# GEP
    N45.18.52.31, W093.48.25.17
# HRBEK
    N45.25.05.56, W094.04.36.50
# HOMUR
    N45.35.03.67, W094.30.53.21
# KBREW
    N46.45.12.01, W096.51.04.75
# FAR

route7 =
    LEINY6.LEINY, LEINY6
    N44.54.57.58, W093.38.01.51
# TONCA
    N44.56.03.00, W094.01.31.00
# BOTNE
    N44.56.54.26, W094.21.16.60
# KUUGL
    N45.02.16.00, W097.36.40.00
# LEINY

route8 =
    ORSKY2.ORSKY, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY

route9 =
    ORSKY2.FOD, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY
    N42.36.40.05, W094.17.41.34
# FOD

route10 =
    ORSKY2.OVR, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY
    N43.17.51.48, W094.30.46.46
# ONTIJ
    N42.57.30.91, W094.42.51.04
# GOOLD
    N42.49.33.63, W094.47.31.30
# SIMJI
    N42.26.08.02, W095.01.09.77
# EYHUX
    N41.50.32.36, W095.21.31.40
# TODDO
    N41.10.01.80, W095.44.12.67
# OVR

route11 =
    RST1.RST, RST1
    N44.37.51.40, W093.10.55.39
# FGT
    N44.25.19.96, W093.02.10.66
# FOBUG
    N44.15.29.08, W092.55.20.92
# DOKTR
    N44.07.25.38, W092.49.47.21
# CORDY
    N43.46.58.45, W092.35.49.06
# RST

route12 =
    RST1.ALO, RST1
    N44.37.51.40, W093.10.55.39
# FGT
    N44.25.19.96, W093.02.10.66
# FOBUG
    N44.15.29.08, W092.55.20.92
# DOKTR
    N44.07.25.38, W092.49.47.21
# CORDY
    N43.46.58.45, W092.35.49.06
# RST
    N42.33.23.39, W092.23.56.13
# ALO

route13 =
    SCHEP9.SCHEP, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP

route14 =
    SCHEP9.OBH, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP
    N43.38.48.90, W095.34.55.05
# OTG
    N41.22.32.65, W098.21.12.94
# OBH

route15 =
    SCHEP9.ONL, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP
    N43.38.48.90, W095.34.55.05
# OTG
    N42.28.13.80, W098.41.12.94
# ONL

route16 =
    SMERF7.SMERF, SMERF7
    N45.05.17.00, W093.52.33.00
# ZOGAP
    N45.11.17.56, W094.17.15.85
# PAGOZ
    N45.55.15.82, W097.34.08.26
# SMERF

route17 =
    ZMBRO7.ZMBRO, ZMBRO7
    N44.53.47.40, W093.14.11.51
# MSP
    N44.27.40.64, W092.43.40.59
# JEDET
    N44.20.29.98, W092.26.54.60
# ZMBRO

route18 =
    ZMBRO7.ODI, ZMBRO7
    N44.53.47.40, W093.14.11.51
# MSP
    N44.27.40.64, W092.43.40.59
# JEDET
    N44.20.29.98, W092.26.54.60
# ZMBRO
    N43.54.44.39, W091.28.03.06
# ODI


##################################################
[departure1]
runway = KMSP_17_35, rev

route1 =
    COULT7.COULT, COULT7
    N44.33.23.85, W092.12.30.38
# COULT

route2 =
    COULT7.DLL, COULT7
    N44.33.23.85, W092.12.30.38
# COULT
    N44.22.14.63, W091.51.01.69
# LMFRY
    N43.33.03.00, W089.45.49.04
# DLL

route3 =
    DWN8.DWN, DWN8
    N44.53.47.40, W093.14.11.51
# MSP
    N45.05.14.87, W094.27.13.86
# DWN

route4 =
    DWN8.ABR, DWN8
    N44.53.47.40, W093.14.11.51
# MSP
    N45.05.14.87, W094.27.13.86
# DWN
    N45.25.02.48, W098.22.07.39
# ABR

route5 =
    KBREW1.KBREW, KBREW1
    N45.08.44.47, W093.22.23.45
# GEP
    N45.18.52.31, W093.48.25.17
# HRBEK
    N45.25.05.56, W094.04.36.50
# HOMUR
    N45.35.03.67, W094.30.53.21
# KBREW

route6 =
    KBREW1.FAR, KBREW1
    N45.08.44.47, W093.22.23.45
# GEP
    N45.18.52.31, W093.48.25.17
# HRBEK
    N45.25.05.56, W094.04.36.50
# HOMUR
    N45.35.03.67, W094.30.53.21
# KBREW
    N46.45.12.01, W096.51.04.75
# FAR

route7 =
    LEINY6.LEINY, LEINY6
    N44.54.57.58, W093.38.01.51
# TONCA
    N44.56.03.00, W094.01.31.00
# BOTNE
    N44.56.54.26, W094.21.16.60
# KUUGL
    N45.02.16.00, W097.36.40.00
# LEINY

route8 =
    ORSKY2.ORSKY, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY

route9 =
    ORSKY2.FOD, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY
    N42.36.40.05, W094.17.41.34
# FOD

route10 =
    ORSKY2.OVR, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY
    N43.17.51.48, W094.30.46.46
# ONTIJ
    N42.57.30.91, W094.42.51.04
# GOOLD
    N42.49.33.63, W094.47.31.30
# SIMJI
    N42.26.08.02, W095.01.09.77
# EYHUX
    N41.50.32.36, W095.21.31.40
# TODDO
    N41.10.01.80, W095.44.12.67
# OVR

route11 =
    RST1.RST, RST1
    N44.37.51.40, W093.10.55.39
# FGT
    N44.25.19.96, W093.02.10.66
# FOBUG
    N44.15.29.08, W092.55.20.92
# DOKTR
    N44.07.25.38, W092.49.47.21
# CORDY
    N43.46.58.45, W092.35.49.06
# RST

route12 =
    RST1.ALO, RST1
    N44.37.51.40, W093.10.55.39
# FGT
    N44.25.19.96, W093.02.10.66
# FOBUG
    N44.15.29.08, W092.55.20.92
# DOKTR
    N44.07.25.38, W092.49.47.21
# CORDY
    N43.46.58.45, W092.35.49.06
# RST
    N42.33.23.39, W092.23.56.13
# ALO

route13 =
    SCHEP9.SCHEP, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP

route14 =
    SCHEP9.OBH, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP
    N43.38.48.90, W095.34.55.05
# OTG
    N41.22.32.65, W098.21.12.94
# OBH

route15 =
    SCHEP9.ONL, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP
    N43.38.48.90, W095.34.55.05
# OTG
    N42.28.13.80, W098.41.12.94
# ONL

route16 =
    SMERF7.SMERF, SMERF7
    N45.05.17.00, W093.52.33.00
# ZOGAP
    N45.11.17.56, W094.17.15.85
# PAGOZ
    N45.55.15.82, W097.34.08.26
# SMERF

route17 =
    ZMBRO7.ZMBRO, ZMBRO7
    N44.53.47.40, W093.14.11.51
# MSP
    N44.27.40.64, W092.43.40.59
# JEDET
    N44.20.29.98, W092.26.54.60
# ZMBRO

route18 =
    ZMBRO7.ODI, ZMBRO7
    N44.53.47.40, W093.14.11.51
# MSP
    N44.27.40.64, W092.43.40.59
# JEDET
    N44.20.29.98, W092.26.54.60
